asset,time,datetime_utc,open,high,low,close,long_liquidation_usd,short_liquidation_usd,total_liquidation_usd
BTCUSDT,1786757400,2026-08-15 01:30:00+00:00,63014.2,63015.0,62990.0,63005.9,0.0,0.0,0.0
BTCUSDT,1786758300,2026-08-15 01:45:00+00:00,63006.0,63010.8,62992.8,63010.7,0.0,-63.0,63.0
BTCUSDT,1786759200,2026-08-15 02:00:00+00:00,63010.8,63033.1,63007.5,63030.7,0.0,0.0,0.0
BTCUSDT,1786760100,2026-08-15 02:15:00+00:00,63030.7,63094.8,63030.7,63073.3,0.0,-1513.58,1513.58
BTCUSDT,1786761000,2026-08-15 02:30:00+00:00,63073.3,63110.1,63073.3,63088.9,0.0,-504.84,504.84
BTCUSDT,1786761900,2026-08-15 02:45:00+00:00,63088.9,63114.0,63088.9,63113.6,0.0,-9340.84,9340.84
BTCUSDT,1786762800,2026-08-15 03:00:00+00:00,63113.6,63133.3,63103.1,63132.4,63.11,-73601.73,73664.84
BTCUSDT,1786763700,2026-08-15 03:15:00+00:00,63132.5,63170.0,63055.8,63065.5,63.13,-165207.63,165270.76
BTCUSDT,1786764600,2026-08-15 03:30:00+00:00,63065.5,63067.0,63014.0,63039.4,0.0,-31514.68,31514.68
BTCUSDT,1786765500,2026-08-15 03:45:00+00:00,63039.4,63050.0,63023.9,63030.3,63.04,0.0,63.04
BTCUSDT,1786766400,2026-08-15 04:00:00+00:00,63030.3,63075.0,63030.3,63075.0,63.05,0.0,63.05
BTCUSDT,1786767300,2026-08-15 04:15:00+00:00,63074.9,63106.2,63074.9,63102.7,0.0,0.0,0.0
BTCUSDT,1786768200,2026-08-15 04:30:00+00:00,63102.6,63127.5,63097.4,63127.5,0.0,0.0,0.0
BTCUSDT,1786769100,2026-08-15 04:45:00+00:00,63127.5,63127.5,63092.4,63092.5,0.0,0.0,0.0
BTCUSDT,1786770000,2026-08-15 05:00:00+00:00,63092.5,63125.5,63092.4,63125.5,1009.7,-694.22,1703.92
BTCUSDT,1786770900,2026-08-15 05:15:00+00:00,63125.4,63127.5,63091.1,63091.1,52077.55,-1514.78,53592.33
BTCUSDT,1786771800,2026-08-15 05:30:00+00:00,63091.2,63097.1,63028.0,63050.0,0.0,0.0,0.0
BTCUSDT,1786772700,2026-08-15 05:45:00+00:00,63049.9,63055.5,63013.4,63055.4,7881.9,-3909.43,11791.33
BTCUSDT,1786773600,2026-08-15 06:00:00+00:00,63055.5,63065.9,63010.1,63010.1,252.24,0.0,252.24
BTCUSDT,1786774500,2026-08-15 06:15:00+00:00,63010.1,63042.8,63003.8,63010.2,0.0,0.0,0.0
BTCUSDT,1786775400,2026-08-15 06:30:00+00:00,63010.2,63042.0,63010.2,63042.0,378.21,0.0,378.21
BTCUSDT,1786776300,2026-08-15 06:45:00+00:00,63042.0,63108.3,63041.9,63087.3,0.0,0.0,0.0
BTCUSDT,1786777200,2026-08-15 07:00:00+00:00,63087.2,63102.5,63042.0,63102.4,63.08,0.0,63.08
BTCUSDT,1786778100,2026-08-15 07:15:00+00:00,63102.4,63104.3,63042.0,63050.0,0.0,0.0,0.0
BTCUSDT,1786779000,2026-08-15 07:30:00+00:00,63050.0,63073.6,63041.9,63049.9,189.17,0.0,189.17
BTCUSDT,1786779900,2026-08-15 07:45:00+00:00,63049.9,63058.9,63011.0,63049.8,0.0,0.0,0.0
BTCUSDT,1786780800,2026-08-15 08:00:00+00:00,63049.9,63058.4,63030.0,63030.1,630.42,0.0,630.42
BTCUSDT,1786781700,2026-08-15 08:15:00+00:00,63030.1,63041.2,63025.0,63026.3,945.4,0.0,945.4
BTCUSDT,1786782600,2026-08-15 08:30:00+00:00,63026.3,63027.1,62991.8,62991.9,8315.42,0.0,8315.42
BTCUSDT,1786783500,2026-08-15 08:45:00+00:00,62991.8,63034.1,62902.0,62908.5,158873.29,0.0,158873.29
BTCUSDT,1786784400,2026-08-15 09:00:00+00:00,62908.6,62937.2,62890.2,62933.6,34790.2,-62.9,34853.1
BTCUSDT,1786785300,2026-08-15 09:15:00+00:00,62933.6,62957.8,62930.0,62952.1,62.93,0.0,62.93
BTCUSDT,1786786200,2026-08-15 09:30:00+00:00,62952.0,62999.8,62952.0,62991.9,0.0,0.0,0.0
BTCUSDT,1786787100,2026-08-15 09:45:00+00:00,62991.8,63019.9,62991.8,62999.1,0.0,0.0,0.0
BTCUSDT,1786788000,2026-08-15 10:00:00+00:00,62999.2,63004.1,62971.9,62993.5,0.0,-755.92,755.92
BTCUSDT,1786788900,2026-08-15 10:15:00+00:00,62993.6,62996.2,62992.1,62992.2,0.0,0.0,0.0
BTCUSDT,1786789800,2026-08-15 10:30:00+00:00,62992.1,63018.2,62985.2,63006.3,0.0,-378.11,378.11
BTCUSDT,1786790700,2026-08-15 10:45:00+00:00,63006.4,63025.4,62995.6,63015.6,0.0,0.0,0.0
BTCUSDT,1786791600,2026-08-15 11:00:00+00:00,63015.7,63015.7,62995.8,62995.9,0.0,0.0,0.0
